"assembly_accession"	"species_taxid"	"taxid"	"organism_name"	"infraspecific_name"	"assembly_level"	"seq_rel_date"	"atcc"	"seq_accession"	"start"	"end"	"seq_len"	"strand"
"13"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000213.1"	1	519	519	"*"
"14"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000212.1"	1	164513	164513	"*"
"15"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000211.1"	1	11580	11580	"*"
"16"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000210.1"	1	2142	2142	"*"
"17"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000209.1"	1	180427	180427	"*"
"18"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000208.1"	1	44192	44192	"*"
"19"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000207.1"	1	7207	7207	"*"
"20"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000206.1"	1	759	759	"*"
"21"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000205.1"	1	11447	11447	"*"
"22"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000204.1"	1	218	218	"*"
"23"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000203.1"	1	1641	1641	"*"
"24"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000202.1"	1	466	466	"*"
"25"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000201.1"	1	1318	1318	"*"
"26"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000200.1"	1	6750	6750	"*"
"27"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000199.1"	1	214	214	"*"
"28"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000198.1"	1	451	451	"*"
"29"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000197.1"	1	290	290	"*"
"30"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000196.1"	1	1555	1555	"*"
"31"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000195.1"	1	381	381	"*"
"32"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000194.1"	1	134525	134525	"*"
"33"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000193.1"	1	1912	1912	"*"
"34"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000192.1"	1	19294	19294	"*"
"35"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000191.1"	1	16208	16208	"*"
"36"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000190.1"	1	115370	115370	"*"
"37"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000189.1"	1	32499	32499	"*"
"38"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000188.1"	1	1426	1426	"*"
"39"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000187.1"	1	2301	2301	"*"
"40"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000186.1"	1	558	558	"*"
"41"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000185.1"	1	527	527	"*"
"42"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000184.1"	1	728	728	"*"
"43"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000183.1"	1	13710	13710	"*"
"44"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000182.1"	1	7920	7920	"*"
"45"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000181.1"	1	203	203	"*"
"46"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000180.1"	1	1320	1320	"*"
"47"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000179.1"	1	114726	114726	"*"
"48"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000178.1"	1	981	981	"*"
"49"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000177.1"	1	2152	2152	"*"
"50"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000176.1"	1	5478	5478	"*"
"51"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000175.1"	1	61209	61209	"*"
"52"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000174.1"	1	1219	1219	"*"
"53"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000173.1"	1	5429	5429	"*"
"54"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000172.1"	1	2362	2362	"*"
"55"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000171.1"	1	269	269	"*"
"56"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000170.1"	1	203	203	"*"
"57"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000169.1"	1	14971	14971	"*"
"58"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000168.1"	1	20544	20544	"*"
"59"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000167.1"	1	352	352	"*"
"60"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000166.1"	1	2150	2150	"*"
"61"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000165.1"	1	281	281	"*"
"62"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000164.1"	1	281	281	"*"
"63"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000163.1"	1	369	369	"*"
"64"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000162.1"	1	25276	25276	"*"
"65"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000161.1"	1	242	242	"*"
"66"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000160.1"	1	388	388	"*"
"67"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000159.1"	1	22664	22664	"*"
"68"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000158.1"	1	492	492	"*"
"69"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000157.1"	1	15835	15835	"*"
"70"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000156.1"	1	11742	11742	"*"
"71"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000155.1"	1	3394	3394	"*"
"72"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000154.1"	1	310	310	"*"
"73"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000153.1"	1	44835	44835	"*"
"74"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000152.1"	1	2138	2138	"*"
"75"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000151.1"	1	479	479	"*"
"76"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000150.1"	1	296	296	"*"
"77"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000149.1"	1	1318	1318	"*"
"78"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000148.1"	1	225	225	"*"
"79"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000147.1"	1	2157	2157	"*"
"80"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000146.1"	1	217	217	"*"
"81"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000145.1"	1	209	209	"*"
"82"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000144.1"	1	93026	93026	"*"
"83"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000143.1"	1	813	813	"*"
"84"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000142.1"	1	361	361	"*"
"85"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000141.1"	1	24017	24017	"*"
"86"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000140.1"	1	14082	14082	"*"
"87"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000139.1"	1	296	296	"*"
"88"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000138.1"	1	1023	1023	"*"
"89"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000137.1"	1	1779	1779	"*"
"90"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000136.1"	1	398	398	"*"
"91"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000135.1"	1	241059	241059	"*"
"92"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000134.1"	1	25437	25437	"*"
"93"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000133.1"	1	2481	2481	"*"
"94"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000132.1"	1	147619	147619	"*"
"95"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000131.1"	1	2804	2804	"*"
"96"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000130.1"	1	1031	1031	"*"
"97"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000129.1"	1	829	829	"*"
"98"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000128.1"	1	11167	11167	"*"
"99"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000127.1"	1	203	203	"*"
"100"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000126.1"	1	10460	10460	"*"
"101"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000125.1"	1	168925	168925	"*"
"102"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000124.1"	1	35717	35717	"*"
"103"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000123.1"	1	659	659	"*"
"104"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000122.1"	1	764	764	"*"
"105"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000121.1"	1	235	235	"*"
"106"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000120.1"	1	51500	51500	"*"
"107"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000119.1"	1	1306	1306	"*"
"108"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000118.1"	1	38533	38533	"*"
"109"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000117.1"	1	335	335	"*"
"110"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000116.1"	1	248	248	"*"
"111"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000115.1"	1	29069	29069	"*"
"112"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000114.1"	1	5256	5256	"*"
"113"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000113.1"	1	3041	3041	"*"
"114"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000112.1"	1	230	230	"*"
"115"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000111.1"	1	1701	1701	"*"
"116"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000110.1"	1	379	379	"*"
"117"	"GCF_000333175.1"	562	1246623	"Escherichia coli O10:K5(L):H4 str. ATCC 23506"	"strain=ATCC 23506"	"Contig"	"2013/01/14"	"ATCC 23506"	"NZ_CAPK01000109.1"	1	541	541	"*"
