	s176	s184	s193	s237	s325	REF_GCF_000012825	REF_GCF_000178195	REF_GCF_000273295	REF_GCF_000403235	REF_GCF_000699705	REF_GCF_000699845	REF_GCF_000699865	REF_GCF_001404375	REF_GCF_001405155	REF_GCF_001406315	REF_GCF_001412315	REF_GCF_001640865	REF_GCF_900109635
g000030	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000032	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000033	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000034	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000035	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1
g000036	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000037	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000038	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000039	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g000040	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g000041	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g000042	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
g000043	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000044	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0
g000045	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
g000046	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
g000047	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
g000048	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000049	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
g000050	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000051	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1
g000052	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1
g000053	1	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g000054	1	0	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	0
g000055	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1
g000056	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0
g000057	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g000058	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000059	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000060	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g000061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000062	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
g000063	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000064	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000066	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000067	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000068	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000069	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000070	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000073	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
g000074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000076	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1
g000077	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000078	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000079	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
g000080	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0
g000081	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
g000082	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0
g000083	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0
g000084	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	1
g000085	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000087	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g000088	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
g000089	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
g000090	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000091	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000092	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0
g000093	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1
g000094	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1
g000095	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g000096	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000097	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0
g000098	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000099	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000101	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000104	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0
g000105	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000107	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000108	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0
g000109	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000110	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000111	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1
g000112	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0
g000113	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000114	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1
g000115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000117	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1
g000118	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1
g000119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000120	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000121	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0
g000122	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
g000123	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000124	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000126	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000127	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000128	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000129	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000130	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000131	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000133	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000134	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000135	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0
g000136	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0
g000137	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0
g000138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000139	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1
g000140	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000141	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
g000142	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	0
g000143	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000144	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000145	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000146	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000147	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000148	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000150	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
g000151	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000152	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000153	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000154	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000155	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000156	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000157	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000158	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000159	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000160	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000161	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000162	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000163	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000165	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000166	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000167	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000168	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000169	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000170	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000171	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000172	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000173	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000174	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000175	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
g000176	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000177	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000178	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000179	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000180	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000181	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000182	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000183	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000184	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000185	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000186	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000187	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000188	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000189	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000190	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000191	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000192	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000193	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000194	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000195	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000196	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
g000197	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
g000198	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
g000199	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
g000200	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000201	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000202	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000203	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000204	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000205	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000207	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0
g000208	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0
g000209	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0
g000210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000211	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000213	1	1	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	1
g000214	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000215	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000216	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000217	1	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1
g000218	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1
g000219	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
g000220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000221	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000222	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000223	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000224	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000225	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000226	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000227	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000228	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000229	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000230	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000231	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000232	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000233	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000234	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000235	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000236	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000237	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000238	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000239	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000240	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000241	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000242	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000243	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000244	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000245	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000246	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000247	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000248	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000249	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
g000250	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000251	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000252	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000253	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000254	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000255	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000256	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000257	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000258	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
g000259	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1
g000260	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000261	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000262	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000263	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000264	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000265	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
g000266	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
g000267	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1
g000268	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0
g000269	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	0	0	1
g000270	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000271	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000272	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000273	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
g000274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000276	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000277	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000278	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
g000279	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000280	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1
g000281	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1
g000282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000283	1	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0
g000284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000285	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
g000286	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0
g000287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000288	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000289	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000290	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
g000291	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1
g000292	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
g000293	0	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0
g000294	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
g000295	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
g000296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000297	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000298	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1
g000299	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000300	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000301	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000302	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000303	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000304	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000305	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000306	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000307	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000308	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000309	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000310	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000311	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000312	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000313	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000314	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000315	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000316	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000317	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000318	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000319	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000320	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000321	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000322	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000323	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000324	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000325	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000326	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000327	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000328	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000329	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000330	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000331	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000332	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000333	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000334	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000335	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000336	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000337	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000338	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000339	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000340	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000341	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
g000342	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
