assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	assembly_level	genome_rep	seq_rel_date	asm_name	ftp_path
GCF_000147925.1	PRJNA224116	SAMN00189132	AEBR00000000.1	na	749495	1351	Enterococcus faecalis TX4248	strain=TX4248	Scaffold	Full	9/23/10	ASM14792v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/925/GCF_000147925.1_ASM14792v1
GCF_000147985.1	PRJNA224116	SAMN00189100	AEBS00000000.1	na	749490	1351	Enterococcus faecalis DAPTO 516	strain=DAPTO 516	Scaffold	Full	9/24/10	ASM14798v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/985/GCF_000147985.1_ASM14798v1
GCF_000148005.1	PRJNA224116	SAMN00189099	AEBT00000000.1	na	749489	1351	Enterococcus faecalis DAPTO 512	strain=DAPTO 512	Scaffold	Full	9/24/10	ASM14800v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/005/GCF_000148005.1_ASM14800v1
GCF_000148045.1	PRJNA224116	SAMN00189119	AEBV00000000.1	na	749511	1351	Enterococcus faecalis TX0855	strain=TX0855	Scaffold	Full	9/24/10	ASM14804v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/045/GCF_000148045.1_ASM14804v1
GCF_000148065.1	PRJNA224116	SAMN00189127	AEBW00000000.1	na	749518	1351	Enterococcus faecalis TX2134	strain=TX2134	Scaffold	Full	9/24/10	ASM14806v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/065/GCF_000148065.1_ASM14806v1
GCF_000148085.1	PRJNA224116	SAMN00189122	AEBX00000000.1	na	749512	1351	Enterococcus faecalis TX0860	strain=TX0860	Scaffold	Full	9/24/10	ASM14808v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/085/GCF_000148085.1_ASM14808v1
GCF_000148105.1	PRJNA224116	SAMN00189109	AEBY00000000.1	na	749502	1351	Enterococcus faecalis TX0109	strain=TX0109	Scaffold	Full	9/24/10	ASM14810v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/105/GCF_000148105.1_ASM14810v1
GCF_000148125.1	PRJNA224116	SAMN00189116	AEBZ00000000.1	na	749509	1351	Enterococcus faecalis EnGen0311	strain=TX0635	Scaffold	Full	9/24/10	ASM14812v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/125/GCF_000148125.1_ASM14812v1
GCF_000148165.1	PRJNA224116	SAMN00189129	AECG00000000.1	na	749492	1351	Enterococcus faecalis TX2141	strain=TX2141	Scaffold	Full	9/24/10	ASM14816v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/165/GCF_000148165.1_ASM14816v1
GCF_000148185.1	PRJNA224116	SAMN00189113	AECA00000000.1	na	749506	1351	Enterococcus faecalis TX0411	strain=TX0411	Scaffold	Full	9/24/10	ASM14818v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/185/GCF_000148185.1_ASM14818v1
GCF_000148205.1	PRJNA224116	SAMN00189118	AECE00000000.1	na	749510	1351	Enterococcus faecalis TX0645	strain=TX0645	Scaffold	Full	9/24/10	ASM14820v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/205/GCF_000148205.1_ASM14820v1
GCF_000148225.1	PRJNA224116	SAMN00189124	AECF00000000.1	na	749514	1351	Enterococcus faecalis TX1341	strain=TX1341	Scaffold	Full	9/24/10	ASM14822v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/225/GCF_000148225.1_ASM14822v1
GCF_000148245.1	PRJNA224116	SAMN00189103	AECD00000000.1	na	749496	1351	Enterococcus faecalis TX0012	strain=TX0012	Scaffold	Full	9/24/10	ASM14824v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/245/GCF_000148245.1_ASM14824v1
GCF_000148265.1	PRJNA224116	SAMN00189114	AECC00000000.1	na	749507	1351	Enterococcus faecalis TX0470	strain=TX0470	Scaffold	Full	9/24/10	ASM14826v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/265/GCF_000148265.1_ASM14826v1
GCF_000148305.1	PRJNA224116	SAMN00189112	AECB00000000.1	na	749505	1351	Enterococcus faecalis TX0312	strain=TX0312	Scaffold	Full	9/24/10	ASM14830v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/305/GCF_000148305.1_ASM14830v1
GCF_000148445.1	PRJNA224116	SAMN00189130	AEBB00000000.1	na	749493	1351	Enterococcus faecalis TX4000	strain=TX4000	Scaffold	Full	10/4/10	ASM14844v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/445/GCF_000148445.1_ASM14844v1
GCF_000157135.1	PRJNA224116	SAMN02595249	ACAD00000000.1	na	565636	1351	Enterococcus faecalis T1	strain=T1	Scaffold	Full	6/11/09	ASM15713v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/135/GCF_000157135.1_ASM15713v1
GCF_000157155.1	PRJNA224116	SAMN02595250	ACAE00000000.1	na	565637	1351	Enterococcus faecalis T2	strain=T2	Scaffold	Full	6/24/09	ASM15715v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/155/GCF_000157155.1_ASM15715v1
GCF_000157175.1	PRJNA224116	SAMN02595251	ACAF00000000.1	na	565638	1351	Enterococcus faecalis T3	strain=T3	Scaffold	Full	6/11/09	ASM15717v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/175/GCF_000157175.1_ASM15717v1
GCF_000157195.1	PRJNA224116	SAMN02595252	ACAG00000000.1	na	565642	1351	Enterococcus faecalis ATCC 4200	strain=ATCC 4200	Scaffold	Full	6/11/09	ASM15719v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/195/GCF_000157195.1_ASM15719v1
GCF_000157235.1	PRJNA224116	SAMN02595254	ACAI00000000.1	na	565643	1351	Enterococcus faecalis DS5	strain=DS5	Scaffold	Full	6/24/09	ASM15723v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/235/GCF_000157235.1_ASM15723v1
GCF_000157275.1	PRJNA224116	SAMN02595256	ACAK00000000.1	na	565651	1351	Enterococcus faecalis ARO1/DG	strain=AR01/DG	Scaffold	Full	6/24/09	ASM15727v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/275/GCF_000157275.1_ASM15727v1
GCF_000157315.1	PRJNA224116	SAMN02595258	ACAM00000000.1	na	565645	1351	Enterococcus faecalis Merz96	strain=Merz96	Scaffold	Full	6/24/09	ASM15731v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/315/GCF_000157315.1_ASM15731v1
GCF_000157335.1	PRJNA224116	SAMN02595259	ACAN00000000.1	na	565646	1351	Enterococcus faecalis HIP11704	strain=HIP11704	Scaffold	Full	6/22/09	ASM15733v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/335/GCF_000157335.1_ASM15733v1
GCF_000157375.1	PRJNA224116	SAMN02595260	ACAP00000000.1	na	565648	1351	Enterococcus faecalis JH1	strain=JH1	Scaffold	Full	6/22/09	ASM15737v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/375/GCF_000157375.1_ASM15737v1
GCF_000157395.1	PRJNA224116	SAMN02595261	ACAQ00000000.1	na	565647	1351	Enterococcus faecalis E1Sol	strain=E1Sol	Scaffold	Full	6/22/09	ASM15739v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/395/GCF_000157395.1_ASM15739v1
GCF_000157415.1	PRJNA224116	SAMN02595262	ACAR00000000.1	na	565649	1351	Enterococcus faecalis Fly1	strain=Fly1	Scaffold	Full	6/22/09	ASM15741v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/415/GCF_000157415.1_ASM15741v1
GCF_000157455.1	PRJNA224116	SAMN02595264	ACAT00000000.1	na	565650	1351	Enterococcus faecalis D6	strain=D6	Scaffold	Full	6/16/09	ASM15745v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/455/GCF_000157455.1_ASM15745v1
GCF_000157475.1	PRJNA224116	SAMN02595265	ACAU00000000.1	na	565640	1351	Enterococcus faecalis T11	strain=T11	Scaffold	Full	6/16/09	ASM15747v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/475/GCF_000157475.1_ASM15747v1
GCF_000157495.1	PRJNA224116	SAMN02595266	ACAV00000000.1	na	565644	1351	Enterococcus faecalis CH188	strain=CH188	Scaffold	Full	6/16/09	ASM15749v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/495/GCF_000157495.1_ASM15749v1
GCF_000157515.1	PRJNA224116	SAMN02595267	ACAW00000000.1	na	565641	1351	Enterococcus faecalis X98	strain=X98	Scaffold	Full	6/16/09	ASM15751v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/515/GCF_000157515.1_ASM15751v1
GCF_000159255.1	PRJNA224116	SAMN00002243	ACGL00000000.1	na	491074	1351	Enterococcus faecalis TX0104	strain=TX0104	Scaffold	Full	5/15/09	ASM15925v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/255/GCF_000159255.1_ASM15925v1
GCF_000159275.1	PRJNA224116	SAMN00001498	ACGM00000000.1	na	525278	1351	Enterococcus faecalis TX1322	strain=TX1322	Scaffold	Full	5/15/09	ASM15927v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/275/GCF_000159275.1_ASM15927v1
GCF_000159655.1	PRJNA224116	SAMN00001464	ACHK00000000.1	na	525271	1351	Enterococcus faecalis ATCC 29200	strain=ATCC 29200	Scaffold	Full	5/15/09	ASM15965v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/655/GCF_000159655.1_ASM15965v1
GCF_000160155.1	PRJNA224116	SAMN00002227	ACIX00000000.1	na	491075	1351	Enterococcus faecalis EnGen0297	strain=HH22	Scaffold	Full	5/15/09	ASM16015v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/155/GCF_000160155.1_ASM16015v1
GCF_000161875.1	PRJNA224116	SAMN02595328	ACOC00000000.1	na	565639	1351	Enterococcus faecalis T8	strain=T8	Scaffold	Full	8/27/09	ASM16187v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/161/875/GCF_000161875.1_ASM16187v1
GCF_000163795.1	PRJNA224116	SAMN00189102	ADDP00000000.1	na	699185	1351	Enterococcus faecalis S613	strain=S613	Scaffold	Full	1/29/10	ASM16379v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/795/GCF_000163795.1_ASM16379v1
GCF_000163815.1	PRJNA224116	SAMN00189101	ADDQ00000000.1	na	699186	1351	Enterococcus faecalis R712	strain=R712	Scaffold	Full	1/29/10	ASM16381v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/815/GCF_000163815.1_ASM16381v1
GCF_000172575.2	PRJNA224116	SAMN02603002		na	474186	1351	Enterococcus faecalis OG1RF	strain=OG1RF	Complete Genome	Full	4/6/11	ASM17257v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/575/GCF_000172575.2_ASM17257v2
GCF_000175015.1	PRJNA224116	SAMN00000720	ACOX00000000.2	na	553209	1351	Enterococcus faecalis TUSoD Ef11	strain=TUSoD Ef11	Contig	Full	7/19/10	ASM17501v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/015/GCF_000175015.1_ASM17501v1
GCF_000178175.1	PRJNA224116	SAMN00014269	ADKN00000000.1	na	791166	1351	Enterococcus faecalis PC1.1	strain=PC1.1	Contig	Full	4/8/10	ASM17817v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/175/GCF_000178175.1_ASM17817v1
GCF_000281195.1	PRJNA224116	SAMN02603765		na	1206105	1351	Enterococcus faecalis D32	strain=D32	Complete Genome	Full	7/24/12	ASM28119v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/195/GCF_000281195.1_ASM28119v1
GCF_000293985.2	PRJNA224116	SAMN02299460	ALZI00000000.1	na	1134784	1351	Enterococcus faecalis 599	strain=599	Scaffold	Full	8/29/12	ASM29398v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/293/985/GCF_000293985.2_ASM29398v2
GCF_000294005.2	PRJNA224116	SAMN02299461	ALZJ00000000.1	na	1134785	1351	Enterococcus faecalis ERV103	strain=ERV103	Scaffold	Full	8/29/12	ASM29400v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/005/GCF_000294005.2_ASM29400v2
GCF_000294025.2	PRJNA224116	SAMN02299462	ALZK00000000.1	na	1134786	1351	Enterococcus faecalis ERV116	strain=ERV116	Scaffold	Full	8/29/12	ASM29402v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/025/GCF_000294025.2_ASM29402v2
GCF_000294045.1	PRJNA224116	SAMN02299463	ALZL00000000.1	na	1134787	1351	Enterococcus faecalis ERV129	strain=ERV129	Scaffold	Full	8/29/12	ASM29404v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/045/GCF_000294045.1_ASM29404v1
GCF_000294065.2	PRJNA224116	SAMN02299464	ALZM00000000.1	na	1134788	1351	Enterococcus faecalis ERV25	strain=ERV25	Scaffold	Full	8/29/12	ASM29406v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/065/GCF_000294065.2_ASM29406v2
GCF_000294085.2	PRJNA224116	SAMN02299465	ALZN00000000.1	na	1134789	1351	Enterococcus faecalis ERV31	strain=ERV31	Scaffold	Full	8/29/12	ASM29408v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/085/GCF_000294085.2_ASM29408v2
GCF_000294105.2	PRJNA224116	SAMN02299466	ALZO00000000.1	na	1134790	1351	Enterococcus faecalis ERV37	strain=ERV37	Scaffold	Full	8/29/12	ASM29410v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/105/GCF_000294105.2_ASM29410v2
GCF_000294125.1	PRJNA224116	SAMN02299467	ALZP00000000.1	na	1134791	1351	Enterococcus faecalis ERV41	strain=ERV41	Scaffold	Full	8/29/12	ASM29412v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/125/GCF_000294125.1_ASM29412v1
GCF_000294145.2	PRJNA224116	SAMN02299468	ALZQ00000000.1	na	1134792	1351	Enterococcus faecalis ERV62	strain=ERV62	Scaffold	Full	8/29/12	ASM29414v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/145/GCF_000294145.2_ASM29414v2
GCF_000294165.2	PRJNA224116	SAMN02299469	ALZR00000000.1	na	1134793	1351	Enterococcus faecalis ERV63	strain=ERV63	Scaffold	Full	8/29/12	ASM29416v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/165/GCF_000294165.2_ASM29416v2
GCF_000294185.2	PRJNA224116	SAMN02299470	ALZS00000000.1	na	1134794	1351	Enterococcus faecalis ERV65	strain=ERV65	Scaffold	Full	8/29/12	ASM29418v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/185/GCF_000294185.2_ASM29418v2
GCF_000294205.2	PRJNA224116	SAMN02299471	ALZT00000000.1	na	1134795	1351	Enterococcus faecalis ERV68	strain=ERV68	Scaffold	Full	8/29/12	ASM29420v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/205/GCF_000294205.2_ASM29420v2
GCF_000294225.2	PRJNA224116	SAMN02299472	ALZU00000000.1	na	1134796	1351	Enterococcus faecalis ERV72	strain=ERV72	Scaffold	Full	8/29/12	ASM29422v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/225/GCF_000294225.2_ASM29422v2
GCF_000294245.2	PRJNA224116	SAMN02299473	ALZV00000000.1	na	1134797	1351	Enterococcus faecalis ERV73	strain=ERV73	Scaffold	Full	8/29/12	ASM29424v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/245/GCF_000294245.2_ASM29424v2
GCF_000294265.2	PRJNA224116	SAMN02299474	ALZW00000000.1	na	1134798	1351	Enterococcus faecalis ERV81	strain=ERV81	Scaffold	Full	8/29/12	ASM29426v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/265/GCF_000294265.2_ASM29426v2
GCF_000294285.2	PRJNA224116	SAMN02299475	ALZX00000000.1	na	1134799	1351	Enterococcus faecalis ERV85	strain=ERV85	Scaffold	Full	8/29/12	ASM29428v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/285/GCF_000294285.2_ASM29428v2
GCF_000294305.2	PRJNA224116	SAMN02299476	ALZY00000000.1	na	1134800	1351	Enterococcus faecalis ERV93	strain=ERV93	Scaffold	Full	8/29/12	ASM29430v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/305/GCF_000294305.2_ASM29430v2
GCF_000294325.2	PRJNA224116	SAMN02299477	ALZZ00000000.1	na	1134801	1351	Enterococcus faecalis R508	strain=R508	Scaffold	Full	8/29/12	ASM29432v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/294/325/GCF_000294325.2_ASM29432v2
GCF_000317915.1	PRJNA224116	SAMEA2272087		na	1261557	1351	Enterococcus faecalis str. Symbioflor 1	strain=Symbioflor 1	Complete Genome	Full	12/3/12	ASM31791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/915/GCF_000317915.1_ASM31791v1
GCF_000320305.1	PRJNA224116	SAMN02471974	AFHH00000000.1	na	1027372	1351	Enterococcus faecalis OG1X	strain=OG1X	Contig	Full	12/12/12	ASM32030v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/305/GCF_000320305.1_ASM32030v1
GCF_000320325.1	PRJNA224116	SAMN02471995	AGVN00000000.1	na	1111677	1351	Enterococcus faecalis M7	strain=M7	Contig	Full	12/12/12	ASM32032v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/325/GCF_000320325.1_ASM32032v1
GCF_000390505.1	PRJNA224116	SAMN00792299	AIIK00000000.1	na	1151186	1351	Enterococcus faecalis EnGen0065	strain=B15725	Scaffold	Full	5/14/13	Ente_faec_B15725_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/505/GCF_000390505.1_Ente_faec_B15725_V1
GCF_000390525.1	PRJNA224116	SAMN00792310	AIIL00000000.1	na	1151187	1351	Enterococcus faecalis EnGen0062	strain=B16457	Scaffold	Full	5/13/13	Ente_faec_B16457_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/525/GCF_000390525.1_Ente_faec_B16457_V1
GCF_000390545.1	PRJNA224116	SAMN00792319	AIIM00000000.1	na	1151188	1351	Enterococcus faecalis EnGen0061	strain=B56765	Scaffold	Full	5/14/13	Ente_faec_B56765_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/545/GCF_000390545.1_Ente_faec_B56765_V1
GCF_000390565.1	PRJNA224116	SAMN00792320	AIIN00000000.1	na	1151189	1351	Enterococcus faecalis EnGen0064	strain=B69486	Scaffold	Full	5/14/13	Ente_faec_B69486_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/565/GCF_000390565.1_Ente_faec_B69486_V1
GCF_000390585.1	PRJNA224116	SAMN00792321	AIIO00000000.1	na	1151190	1351	Enterococcus faecalis EnGen0066	strain=B84847	Scaffold	Full	5/13/13	Ente_faec_B84847_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/585/GCF_000390585.1_Ente_faec_B84847_V1
GCF_000390605.1	PRJNA224116	SAMN00792322	AIIP00000000.1	na	1151191	1351	Enterococcus faecalis EnGen0063	strain=C19315WT	Scaffold	Full	5/14/13	Ente_faec_C_19315_led_1A_WT_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/605/GCF_000390605.1_Ente_faec_C_19315_led_1A_WT_V1
GCF_000390625.1	PRJNA224116	SAMN00792323	AIIQ00000000.1	na	1151192	1351	Enterococcus faecalis EnGen0059	strain=C 19315 led 1b pp (SCV)	Scaffold	Full	5/14/13	Ente_faec_C_19315_led_1b_pp_SCV_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/625/GCF_000390625.1_Ente_faec_C_19315_led_1b_pp_SCV_V1
GCF_000390645.1	PRJNA224116	SAMN00792324	AIIR00000000.1	na	1151193	1351	Enterococcus faecalis EnGen0076	strain=1448E03	Scaffold	Full	5/14/13	Ente_faec_1448E03_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/645/GCF_000390645.1_Ente_faec_1448E03_V1
GCF_000390665.1	PRJNA224116	SAMN00792325	AIIS00000000.1	na	1151194	1351	Enterococcus faecalis EnGen0074	strain=182970	Scaffold	Full	5/14/13	Ente_faec_182970_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/665/GCF_000390665.1_Ente_faec_182970_V1
GCF_000390685.1	PRJNA224116	SAMN00792300	AIIT00000000.1	na	1151195	1351	Enterococcus faecalis EnGen0075	strain=19116	Scaffold	Full	5/14/13	Ente_faec_19116_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/685/GCF_000390685.1_Ente_faec_19116_V1
GCF_000390705.1	PRJNA224116	SAMN00792301	AIIU00000000.1	na	1151196	1351	Enterococcus faecalis EnGen0058	strain=2630V05	Scaffold	Full	5/14/13	Ente_faec_2630V05_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/705/GCF_000390705.1_Ente_faec_2630V05_V1
GCF_000390725.1	PRJNA224116	SAMN00792302	AIIV00000000.1	na	1151197	1351	Enterococcus faecalis EnGen0073	strain=2924	Scaffold	Full	5/14/13	Ente_faec_2924_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/725/GCF_000390725.1_Ente_faec_2924_V1
GCF_000390745.1	PRJNA224116	SAMN00792303	AIIW00000000.1	na	1151198	1351	Enterococcus faecalis EnGen0078	strain=7330082-2	Scaffold	Full	5/14/13	Ente_faec_7330082-2_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/745/GCF_000390745.1_Ente_faec_7330082-2_V1
GCF_000390765.1	PRJNA224116	SAMN00792304	AIIX00000000.1	na	1151199	1351	Enterococcus faecalis EnGen0080	strain=7330112-3	Scaffold	Full	5/14/13	Ente_faec_7330112-3_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/765/GCF_000390765.1_Ente_faec_7330112-3_V1
GCF_000390785.1	PRJNA224116	SAMN00792305	AIIY00000000.1	na	1151200	1351	Enterococcus faecalis EnGen0079	strain=7330245-2	Scaffold	Full	5/14/13	Ente_faec_7330245-2_V1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/390/785/GCF_000390785.1_Ente_faec_7330245-2_V1
